timestamp,city,pm25,pm10,no2,co,o3,temperature,wind_speed,humidity,aqi
2026-04-04 14:38:31.725985,chennai,14.5,20.0,4.1,173.0,77.0,29.4,7.2,89,77
2026-04-04 15:37:43.977618,delhi,56.3,199.8,15.8,404.0,76.0,21.5,6.6,70,166
2026-04-04 15:37:44.756418,mumbai,27.0,85.4,8.2,234.0,54.0,27.5,11.3,84,85
2026-04-04 15:37:45.537687,hyderabad,39.8,41.6,14.1,839.0,104.0,27.4,4.0,65,105
2026-04-04 15:37:46.317786,bangalore,22.0,26.3,16.8,365.0,64.0,25.2,6.0,82,64
2026-04-04 15:37:47.097980,kolkata,13.9,14.4,11.5,260.0,70.0,28.5,8.8,99,70
2026-04-04 15:37:47.876321,chennai,14.5,20.0,4.1,200.0,77.0,29.1,6.6,89,77
2026-04-04 16:42:24.782402,delhi,56.3,199.8,15.8,404.0,76.0,19.6,5.4,67,166
2026-04-04 16:42:25.565049,mumbai,27.0,85.4,8.2,234.0,54.0,27.8,10.2,77,85
2026-04-04 16:42:26.339351,hyderabad,39.8,41.6,14.1,839.0,104.0,26.8,3.8,68,105
2026-04-04 16:42:27.117926,bangalore,22.0,26.3,16.8,365.0,64.0,24.9,4.6,83,64
2026-04-04 16:42:27.896303,kolkata,13.9,14.4,11.5,260.0,70.0,28.5,8.0,98,70
2026-04-04 16:42:28.671230,chennai,14.5,20.0,4.1,200.0,77.0,28.9,6.0,91,77
2026-04-04 17:36:39.963735,delhi,56.3,199.8,15.8,404.0,76.0,19.3,3.3,67,166
2026-04-04 17:36:40.727220,mumbai,27.0,85.4,8.2,234.0,54.0,27.7,8.3,77,85
2026-04-04 17:36:41.483593,hyderabad,39.8,41.6,14.1,839.0,104.0,26.2,5.4,68,105
2026-04-04 17:36:42.246644,bangalore,22.0,26.3,16.8,365.0,64.0,24.5,6.1,83,64
2026-04-04 17:36:43.005126,kolkata,13.9,14.4,11.5,260.0,70.0,27.9,8.5,98,70
2026-04-04 17:36:43.761290,chennai,14.5,20.0,4.1,200.0,77.0,28.7,5.6,91,77
2026-04-04 18:51:45.299652,delhi,56.3,199.8,15.8,404.0,76.0,18.9,5.2,67,166
2026-04-04 18:51:46.551285,mumbai,27.0,85.4,8.2,234.0,54.0,27.6,7.0,77,85
2026-04-04 18:51:47.827465,hyderabad,39.8,41.6,14.1,839.0,104.0,25.4,4.3,68,105
2026-04-04 18:51:49.093238,bangalore,22.0,26.3,16.8,365.0,64.0,24.1,6.5,83,64
2026-04-04 18:51:50.372462,kolkata,13.9,14.4,11.5,260.0,70.0,27.5,7.7,98,70
2026-04-04 18:51:51.616038,chennai,14.5,20.0,4.1,200.0,77.0,28.5,5.2,91,77
2026-04-04 19:35:16.966995,delhi,56.3,199.8,15.8,404.0,76.0,18.7,4.7,67,166
2026-04-04 19:35:18.172393,mumbai,27.0,85.4,8.2,234.0,54.0,27.5,5.8,77,85
2026-04-04 19:35:19.360423,hyderabad,39.8,41.6,14.1,839.0,104.0,25.1,1.4,68,105
2026-04-04 19:35:20.565969,bangalore,22.0,26.3,16.8,365.0,64.0,23.7,7.1,83,64
2026-04-04 19:35:21.747897,kolkata,13.9,14.4,11.5,260.0,70.0,27.4,7.3,98,70
2026-04-04 19:35:22.927861,chennai,14.5,20.0,4.1,200.0,77.0,28.4,5.1,91,77
2026-04-04 20:38:49.451741,delhi,56.3,199.8,15.8,404.0,76.0,18.2,5.4,67,166
2026-04-04 20:38:50.462429,mumbai,27.0,85.4,8.2,234.0,54.0,27.4,6.6,77,85
2026-04-04 20:38:51.463479,hyderabad,39.8,41.6,14.1,839.0,104.0,25.1,1.8,68,105
2026-04-04 20:38:52.480368,bangalore,22.0,26.3,16.8,365.0,64.0,23.0,7.1,83,64
2026-04-04 20:38:53.493300,kolkata,13.9,14.4,11.5,260.0,70.0,27.2,5.9,98,70
2026-04-04 20:38:54.499401,chennai,14.5,20.0,4.1,200.0,77.0,28.3,6.3,91,77
2026-04-04 21:37:08.593404,delhi,56.3,199.8,15.8,404.0,76.0,17.6,3.7,67,166
2026-04-04 21:37:09.766101,mumbai,27.0,85.4,8.2,234.0,54.0,27.4,8.8,77,85
2026-04-04 21:37:10.946546,hyderabad,39.8,41.6,14.1,839.0,104.0,25.1,1.8,68,105
2026-04-04 21:37:12.137383,bangalore,22.0,26.3,16.8,365.0,64.0,22.5,4.6,83,64
2026-04-04 21:37:13.327157,kolkata,13.9,14.4,11.5,260.0,70.0,27.1,4.5,98,70
2026-04-04 21:37:14.507915,chennai,14.5,20.0,4.1,200.0,77.0,28.0,7.8,91,77
2026-04-04 22:35:29.672144,delhi,56.3,199.8,15.8,404.0,76.0,19.7,4.0,67,166
2026-04-04 22:35:30.449088,mumbai,27.0,85.4,8.2,234.0,54.0,27.8,8.6,77,85
2026-04-04 22:35:31.223765,hyderabad,39.8,41.6,14.1,839.0,104.0,26.4,3.2,68,105
2026-04-04 22:35:31.994101,bangalore,22.0,26.3,16.8,365.0,64.0,22.0,6.0,83,64
2026-04-04 22:35:32.761631,kolkata,13.9,14.4,11.5,260.0,70.0,26.8,4.8,98,70
2026-04-04 22:35:33.536386,chennai,14.5,20.0,4.1,200.0,77.0,27.9,7.3,91,77
2026-04-04 23:37:10.063289,delhi,49.5,120.6,18.4,404.0,59.0,19.0,1.3,67,113
2026-04-04 23:37:10.841763,mumbai,28.1,82.2,9.6,234.0,56.0,27.7,9.7,77,82
2026-04-04 23:37:11.613803,hyderabad,35.7,37.7,11.7,839.0,94.0,25.9,1.1,68,94
2026-04-04 23:37:12.388422,bangalore,27.8,30.9,18.8,365.0,69.0,21.6,4.4,83,69
2026-04-04 23:37:13.164162,kolkata,17.5,19.0,9.0,260.0,87.0,26.8,4.4,98,87
2026-04-04 23:37:13.948983,chennai,15.7,21.9,3.7,200.0,71.0,27.6,5.7,91,71
2026-04-05 10:40:49.676119,delhi,84.1,348.3,15.6,400.0,65.0,29.8,7.9,58,298
2026-04-05 10:40:50.758321,mumbai,30.4,91.7,14.0,209.0,59.0,27.8,15.8,81,91
2026-04-05 10:40:51.835036,hyderabad,42.4,46.0,11.8,381.0,96.0,35.5,12.0,47,96
2026-04-05 10:40:52.907972,bangalore,32.2,36.2,25.5,446.0,76.0,32.0,9.7,84,76
2026-04-05 10:40:53.990913,kolkata,89.4,92.7,39.7,749.0,11.0,30.4,1.8,78,198
2026-04-05 10:40:55.075967,chennai,15.7,22.4,3.4,161.0,75.0,33.3,10.7,91,75
2026-04-05 11:35:21.474584,delhi,84.1,348.3,15.6,400.0,65.0,29.3,9.4,58,298
2026-04-05 11:35:22.504265,mumbai,30.4,91.7,14.0,209.0,59.0,27.8,16.8,81,91
2026-04-05 11:35:23.486745,hyderabad,42.4,46.0,11.8,381.0,96.0,34.8,12.0,47,96
2026-04-05 11:35:24.467114,bangalore,32.2,36.2,25.5,446.0,76.0,31.6,7.4,84,76
2026-04-05 11:35:25.464315,kolkata,89.4,92.7,39.7,749.0,11.0,29.8,2.8,78,198
2026-04-05 11:35:26.459351,chennai,15.7,22.4,3.4,161.0,75.0,32.3,9.6,91,75
2026-04-05 13:08:58.566749,delhi,84.1,348.3,15.6,400.0,65.0,27.2,8.9,58,298
2026-04-05 13:08:59.348985,mumbai,30.4,91.7,14.0,209.0,59.0,27.7,17.2,81,91
2026-04-05 13:09:00.121935,hyderabad,42.4,46.0,11.8,381.0,96.0,33.5,9.2,47,96
2026-04-05 13:09:00.889478,bangalore,32.2,36.2,25.5,446.0,76.0,30.5,5.4,84,76
2026-04-05 13:09:01.665878,kolkata,89.4,92.7,39.7,749.0,11.0,28.3,3.5,78,198
2026-04-05 13:09:02.443405,chennai,15.7,22.4,3.4,161.0,75.0,30.2,8.5,91,75
2026-04-05 14:39:08.800001,delhi,84.1,348.3,15.6,400.0,65.0,25.3,3.3,58,298
2026-04-05 14:39:09.995090,mumbai,30.4,91.7,14.0,209.0,59.0,27.7,14.0,81,91
2026-04-05 14:39:11.178690,hyderabad,42.4,46.0,11.8,381.0,96.0,31.6,6.4,47,96
2026-04-05 14:39:12.337767,bangalore,32.2,36.2,25.5,446.0,76.0,28.6,4.4,84,76
2026-04-05 14:39:13.531225,kolkata,89.4,92.7,39.7,749.0,11.0,27.5,3.4,78,198
2026-04-05 14:39:14.693141,chennai,15.7,22.4,3.4,161.0,75.0,29.4,7.4,91,75
2026-04-05 15:38:41.564142,delhi,84.1,348.3,15.6,460.0,65.0,24.6,3.1,58,298
2026-04-05 15:38:42.340900,mumbai,30.4,91.7,14.0,444.0,59.0,27.6,11.4,81,91
2026-04-05 15:38:43.136252,hyderabad,42.4,46.0,11.8,529.0,96.0,30.1,10.2,47,96
2026-04-05 15:38:43.932897,bangalore,32.2,36.2,25.5,369.0,76.0,27.7,5.1,84,76
2026-04-05 15:38:44.716199,kolkata,89.4,92.7,39.7,601.0,11.0,27.2,3.7,78,198
2026-04-05 15:38:45.519498,chennai,15.7,22.4,3.4,180.0,75.0,29.2,6.2,91,75
2026-04-05 16:42:27.589343,delhi,84.1,348.3,15.6,460.0,65.0,23.2,4.3,53,298
2026-04-05 16:42:28.351694,mumbai,30.4,91.7,14.0,444.0,59.0,27.9,10.0,80,91
2026-04-05 16:42:29.111366,hyderabad,42.4,46.0,11.8,529.0,96.0,29.3,8.5,45,96
2026-04-05 16:42:29.870472,bangalore,32.2,36.2,25.5,369.0,76.0,26.6,3.2,77,76
2026-04-05 16:42:30.630187,kolkata,89.4,92.7,39.7,601.0,11.0,25.4,4.4,86,198
2026-04-05 16:42:31.390186,chennai,15.7,22.4,3.4,180.0,75.0,29.3,6.3,90,75
2026-04-05 17:37:54.545923,delhi,84.1,348.3,15.6,460.0,65.0,23.1,2.6,53,298
2026-04-05 17:37:55.305162,mumbai,30.4,91.7,14.0,444.0,59.0,27.8,8.4,80,91
2026-04-05 17:37:56.062800,hyderabad,42.4,46.0,11.8,529.0,96.0,28.5,6.2,45,96
2026-04-05 17:37:56.833757,bangalore,32.2,36.2,25.5,369.0,76.0,25.6,4.7,77,76
2026-04-05 17:37:57.591901,kolkata,89.4,92.7,39.7,601.0,11.0,25.2,4.3,86,198
2026-04-05 17:37:58.350243,chennai,15.7,22.4,3.4,180.0,75.0,29.1,6.0,90,75
2026-04-05 18:53:15.191329,delhi,84.1,348.3,15.6,460.0,65.0,22.2,2.9,53,298
2026-04-05 18:53:16.077013,mumbai,30.4,91.7,14.0,444.0,59.0,27.7,7.6,80,91
2026-04-05 18:53:16.979933,hyderabad,42.4,46.0,11.8,529.0,96.0,27.5,6.4,45,96
2026-04-05 18:53:17.879657,bangalore,32.2,36.2,25.5,369.0,76.0,24.7,5.5,77,76
2026-04-05 18:53:18.778737,kolkata,89.4,92.7,39.7,601.0,11.0,25.0,4.7,86,198
2026-04-05 18:53:19.679204,chennai,15.7,22.4,3.4,180.0,75.0,29.1,5.7,90,75
2026-04-05 19:37:30.318001,delhi,84.1,348.3,15.6,460.0,65.0,21.4,2.3,53,298
2026-04-05 19:37:31.235594,mumbai,30.4,91.7,14.0,444.0,59.0,27.7,8.8,80,91
2026-04-05 19:37:32.131055,hyderabad,42.4,46.0,11.8,529.0,96.0,27.1,5.5,45,96
2026-04-05 19:37:33.010512,bangalore,32.2,36.2,25.5,369.0,76.0,24.4,6.9,77,76
2026-04-05 19:37:33.920939,kolkata,89.4,92.7,39.7,601.0,11.0,24.8,4.7,86,198
2026-04-05 19:37:34.829215,chennai,15.7,22.4,3.4,180.0,75.0,28.9,5.0,90,75
